Supplementary Table 3:Repetitive elements read counts on chromosome Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The column titles are composed of the sex of the sample (F for female and M for male) followed by a dash and the sample name. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-Sample-13,F-Sample-16,F-Sample-17,F-Sample-18,F-Sample-2,F-Sample-20,F-Sample-23,F-Sample-24,F-Sample-26,F-Sample-28,F-Sample-31,F-Sample-33,F-Sample-37,F-Sample-40,F-Sample-41,F-Sample-45,F-Sample-5,F-Sample-54,F-Sample-55,F-Sample-56,F-Sample-57,F-Sample-8,F-Sample-9,M-Sample-1,M-Sample-10,M-Sample-11,M-Sample-12,M-Sample-14,M-Sample-15,M-Sample-19,M-Sample-21,M-Sample-22,M-Sample-27,M-Sample-29,M-Sample-3,M-Sample-30,M-Sample-32,M-Sample-34,M-Sample-35,M-Sample-36,M-Sample-38,M-Sample-39,M-Sample-4,M-Sample-42,M-Sample-43,M-Sample-44,M-Sample-46,M-Sample-47,M-Sample-48,M-Sample-49,M-Sample-50,M-Sample-51,M-Sample-52,M-Sample-53,M-Sample-58,M-Sample-59,M-Sample-6,M-Sample-60,M-Sample-7
chrY:21153221-21153519_-,0,16,37,0,9,41,4,14,0,21,15,0,0,0,57,1,9,11,13,21,2,1,13,11,3,15,2,27,5,46,0,6,0,0,22,1,0,0,6,9,0,29,3,0,1,0,0,13,0,0,2,43,18,47,34,0,0,23,0
chrY:22167743-22167990_+,0,0,0,0,0,1,0,1,1,0,16,2,1,0,0,24,0,0,10,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,1,0,0,8,11,0,12,1,0,0,0
chrY:21216671-21216995_-,0,3,0,0,0,3,0,2,5,0,4,2,2,0,6,15,0,3,12,5,4,4,3,3,2,3,2,11,4,2,0,1,2,0,0,0,3,2,0,1,1,5,0,4,0,0,0,0,5,0,11,6,0,11,20,0,0,5,0
chrY:13252193-13257266_+,0,0,0,3,0,0,0,3,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,11,0,0,0,0,0,58,0,0,6,0,11,9,0,4,0,0,0,0,0
chrY:7204830-7204888_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,7,3,0,0,5,7,0,2,0,8,0,0,0,0,2,0,0,9,0,0,2,0,0,0,6,4,1,4,9,12,15,0
chrY:7251398-7251911_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,0,3,0,0,0,0,0,0,0,36,0,0,0,1,0,30,0,11,0,0,0,0,0,2,0,0,0,8,0,1,0
chrY:16957612-16957674_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,7,5,5,0,0,5,0,4,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,44,0,2,0,0
chrY:2742410-2742615_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,2,2,1,6,0,6,3,0,4,0,10,0,0,5,0,5,0,0,2,0,0,6,0,0,18,1,6,8,6,0,0,0,0
chrY:7202024-7202253_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,9,6,2,5,5,0,0,24,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,0
chrY:15478736-15479017_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,2,2,4,0,4,15,0,33,9,0,0,0,0,19,0,0,0,0,0,0,0,2,1,4,0,2,0,0,0
chrY:15330895-15331866_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,12,10,7,0,12,5,17,0
chrY:16887357-16887385_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,2,4,0,2,0,0,0,0,0,0,0,0,0,8,5,0,14,0,0,0,0,0,11,22,0,4,0,8,0,13,0
